Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
iRocket AR,https://www.crunchbase.com/organization/irocket-ar,,2021-08-22,day,11-50,"iRocket AR is a free-to-play, geolocation-based AR mobile game powered by Web 3.0 technology that combines play-and-earn with move-to-earn for an immersive first-of-its-kind metaverse gaming experience. Mobile devices act as portals to the iRocket AR metaverse, allowing gamers to explore an exciting parallel world in real-world locations around the globe, while earning tokens and NFT rewards.  Players participate in the game as Astronauts, exploring planets and battling, capturing, training and evolving space creatures called Arties. GPS and AR technology is used to layer Arties and their virtual world over a player's real-world surroundings through their device camera. Gamers can join special geolocation events, battle NPCs, engage in PVP and Clan battles, or even own and develop a piece of the iRocket AR metaverse and receive a portion of the earnings generated from other players' activities on their land.","Cryptocurrency, Gaming, Mobile",,300000,USD,300000,"ArtieVerse.AR is a free-to-play, geolocation-based AR mobile game powered by Web 3.0 technology","121,744",2022-07-18,Seed,1,Seed,300000,USD,300000
ExplodedView,https://www.crunchbase.com/organization/explodedview,,2020-08-01,day,1-10,ExplodedView provides the next messaging platform that assists influencers and marketing agencies in comprehending the metaverse. The innovative approach of combining augmented and virtual reality on portable platforms provides extreme flexibility while removing physical constraints.,"Augmented Reality, Film Production, Marketing, Video, Virtual Reality",,90000,EUR,94777,ExplodedView is a marketing agency that provides next-generation communication platform.,"121,977",2022-06-21,Seed,1,Pre-Seed,90000,EUR,94777
Cosugames,https://www.crunchbase.com/organization/cosugames,,2022-01-01,year,1-10,,"Blockchain, Online Games, Software","Singapore, Central Region, Singapore",50000,USD,50000,"We are building Metaverse solutions, using Unreal Engine & Web3, to host immersive gaming & social experiences.","122,565",2022-10-01,Seed,2,Angel,50000,USD,50000
Rangersverse,https://www.crunchbase.com/organization/rangersverse,,2022-07-01,month,11-50,"Rangersverse revolutionising the blockchain gaming industry, to create an ecosystem that truly could give the gamers and fans what they deserve through our two products the play-to-earn  Rangersvers game, and the ESport tournament creator platform “Battle House”.","Blockchain, Cryptocurrency, eSports, Video Games",,33000,USD,33000,Rangersverse is a Gamefi metaverse. it's sustainable ecosystem for the gaming industry in the blockchain.,"123,042",2022-07-07,Seed,1,Pre-Seed,33000,USD,33000
Shinarium,https://www.crunchbase.com/organization/shinarium,,2021-01-01,year,1-10,"Shinarium is a decentralized EVM-Compartible smart chain designed to allow for scalable and user-friendly mobile and blockchain applications. Shinarium Blockchain Test-net supports thousands of nodes and producing blocks in a few seconds with instant finality. Shinarium is building web3 apps for end-users through multi-token, NFT bridge, Musicverse, GameFi, Metaverse.","Blockchain, Cryptocurrency, Infrastructure, Software",,,,,Shinarium is a decentralized EVM-Compartible smart chain designed to allow for scalable mobile and blockchain applications.,"123,492",2021-03-07,Seed,1,Pre-Seed,,,
BetaMars,https://www.crunchbase.com/organization/betamars,,2021-01-01,year,,"BetaMars is a metaverse project, constructing a metaverse ecological civilization that detached reality.",Blockchain,,,,,"BetaMars is a metaverse project, constructing a metaverse ecological civilization which detached reality.","125,148",2022-01-19,,2,Venture - Series Unknown,,,
IRACEMETA.IO,https://www.crunchbase.com/organization/iracemeta-io,,2020-05-16,day,11-50,"The New Race Experience in Blockchain Technology by Combine VR and AI #Metaverse Making earning with enjoyable sport activity : Walking, Jogging, Cycling and Running and Claim Reward of NFT and Physical Medal from our Virtual Challenge, lets join us for amazing roadmap journey in digital economy and blue chips digital asset . We Accept investor or venture capital for infrastructure support, also Strategic partnership with crypto media and exchanges. send mail to open discuss",Blockchain,"Jakarta, Jakarta Raya, Indonesia",200000,USD,200000,Develop Apps & Dapps into Sports Space with Blockchain technology and future Web.3,"125,203",2022-05-22,,1,Undisclosed,200000,USD,200000
Visualax,https://www.crunchbase.com/organization/visualax,,2021-02-15,day,1-10,"We have re-invented Augmented Reality (AR) for the metaverse by creating a metaverse entertainment engine called Visuverse. Visuverse seamlessly integrate music, stories & games. Hassle-free access to the immersive metaverse with instant AR on your phone. Long lasting AR with 3+ hours Playtime.  User friendly experience & quick access to content. Future proof to work on next-gen wearable AR glasses.","Augmented Reality, Information Technology, Software","London, England, United Kingdom",300000,USD,300000,"The first immersive metaverse for smartphones. Visuverse seamlessly integrate music, stories & games in Augmented Reality.","126,634",2021-02-15,,1,Undisclosed,300000,USD,300000
PLAY OUT APPAREL,https://www.crunchbase.com/organization/play-out-apparel,,2020-01-01,year,1-10,"Play Out Apparel is a Gen Z lifestyle brand, leading the next generation of self-expression and fashion by applying equality to design, shopping, and gender expression. Gen Z is a completely new values-driven consumer, commanding a staggering $323B in spending power (as of 2022) and with 56% of them shopping outside of their assigned gender. This isn’t the usual tech deal, Play Out is uniquely targeting the GenZ market, offering a 360 degree Lifestyle Brand to help Gen Z shop their authentic selves in real life and the metaverse. In addition to offering real life apparel, Play Out is also focused on circular fashion and accelerating the development of inclusive digital fashion, the intersection of physical goods with digital goods, and NFTs in the metaverse. Founder Abby Sugar is a mentor at the Founder Institute, Play Out is a Select Portfolio company at the Founder Institute and one of their 50 fastest growing companies of 2021; they already have a lot of serious press including 2021 Forbes Next 1000 List and Forbes Article, and Play Out was profiled in the NYT.","Consumer Goods, E-Commerce, Fashion, Textiles","New York, New York, United States",95000,USD,95000,"Play Out Apparel is a Gen Z lifestyle brand applying equality to design, shopping, & gender expression.","127,723",2019-08-12,,1,Debt Financing,,,
Virtualtech Frontier,https://www.crunchbase.com/organization/virtualtech-frontier,,2021-01-01,month,11-50,"Virtualtech Frontier develops business processes through virtual reality technology. It operates virtual event platforms, metaverse services, and virtual reality solutions. Virtualtech Frontier was founded in 2021 and is based in Selangor, Malaysia.","Blockchain, Information Technology, IT Management, Software, Virtual Reality, Virtualization","Puchong, Selangor, Malaysia",,,,"Virtualtech Frontier builds next generation engagement via the Metaverse, VR, AR, & MR technology.","131,182",2023-01-17,Seed,3,Seed,,,
The Net VR,https://www.crunchbase.com/organization/the-net-vr,,2019-09-13,day,1-10,Startup Virtual Reality based company.  We've created a social platform for live streamers and content creators to engage in a 3D space without the use of head mounted displays.  The Net is a metaverse like platform for social engagement and telepresence. Seeking first outside angel investor with major direct equity reward.,"Apps, Internet, Social, Social Media, Software, Video Streaming","Hillsboro, Oregon, United States",1000,USD,1000,VR social media platform,"133,887",2022-01-01,Seed,2,Pre-Seed,1000,USD,1000
VerseFi,https://www.crunchbase.com/organization/versifi,,2021-11-03,day,1-10,"VerseFi specializes in the advising and development of blockchain-based projects. It is mainly involved in two segments, building DAO and web3.0 ecosystems for ventures, and creating monetizable gaming experiences on blockchain metaverses.","Consulting, Cryptocurrency, Gaming, Online Portals, Software","Swansea, Swansea, United Kingdom",,,,"Web3.0 & Metaverse Game Developer, Financial Technology, Consulting","136,950",,,,,,,
Cipholio Ventures,https://www.crunchbase.com/organization/cipholio-ventures,,2021-07-26,day,11-50,"Cipholio Ventures is a research-driven investment firm specializing in cryptocurrencies, tokens, and blockchain projects that have the potential to reshape the trillion-dollar markets.  The company serve as a bridge to connect people, technology, and capital in the decentralized world. The company aim to seek opportunities in Web 3.0, DeFi, GameFi, Metaverse, and Layer 2 based on our deep understanding of the industry and data-driven decisions.","Blockchain, Cryptocurrency, Financial Services, Venture Capital","New York, New York, United States",,,,"Cipholio is a team of professional investors and analysts focusing on blockchain, token & crypto projects, and listing referrals.","140,394",,,,,,,
Redbeard Ventures,https://www.crunchbase.com/organization/redbeard-ventures,,2020-01-01,year,1-10,"Red Beard Ventures is a full-stack web3 fund investing across Web 3.0 and crypto, including consumer applications, infrastructure, gaming, the metaverse, and DeFi with a focus on pre-seed through Series B investments in equity and tokens.","Finance, Financial Services, FinTech, Venture Capital","Brooklyn, New York, United States",,,,"Redbeard Ventures builds, invests, and advises startups across web 3.0 and crypto.","141,317",,,,,,,
Zogi Labs,https://www.crunchbase.com/organization/bezoge-earth,,2021-05-14,day,11-50,"Bezoge Earth ($BEZOGE) is the first community-run, decentralized meme coin with it’s own Meme Metaverse play & earn MMORPG. Bezoge Earth and Legends of Bezogia are intellectual property and trademarks of ZOGI Labs Limited. Bezoge Earth is a unique multi-utility and deflationary ERC-20 token on the Ethereum Network. It's first of many developing use cases include Legends of Bezogia, A play to earn MMORPG game designed with a unique rent to earn mechanism. It features rich lore, gritty combat and epic landscapes filled with adventure and exploration.  Learn more about Bezoge Earth and Legends of Bezogia at Bezoge.com","Blockchain, Gaming, Software","Dubai, Dubai, United Arab Emirates",,,,ZOGI Labs is a blockchain and game development company that is the creator of Bezoge Earth (ERC20 project) and Legends of Bezogia.,"145,215",,,,,,,
YrbanTech,https://www.crunchbase.com/organization/yrbantech,,2021-12-07,day,1-10,"YrbanTech has been providing IT Outsourcing Services Worldwide. We combine Business Domain Knowledge, Proven Methodologies, and All the Latest Technology. From Startups to Enterprises, Products Companies to Digital Agencies, and SMEs to Governments, We Serve Everyone for Their Diverse Technology Requirements and end-to-end solutions. Innovative web & mobile business strategy, Agile solution development, Rich design, Protrude marketing ideas, Product lifecycle management, that’s the product and solution metaverse we are creating.","Augmented Reality, E-Commerce, Logistics, Marketing, Mobile Apps, Product Design, SaaS, Software, Virtual Reality, Web Development","Rajshahi, Dhaka, Bangladesh",50000,USD,50000,"SAAS, WordPress, Flutter, Ionic, Android, iOS, UX design, UI Design, App design, Web development, Digital Marketing, Full-stack Development","145,305",2021-12-07,Seed,1,Pre-Seed,50000,USD,50000
NextMeet,https://www.crunchbase.com/organization/nextmeet,,2020-01-01,year,11-50,"NextMeet® is an Avatar based Immersive PC / VR MetaVerse platform that enables remote working, collaboration, meetings, distance learning & networking for business, education & events. A virtual experience for workers, attendees, students to meet & socialize from across the world.","Collaboration, Information Technology, Meeting Software, Software, Virtual Reality","Hyderabad, Andhra Pradesh, India",200000,USD,200000,NextMeet is an MetaVerse platform.,"145,970",2022-03-30,Seed,1,Angel,200000,USD,200000
Paradox Metaverse,https://www.crunchbase.com/organization/paradox-metaverse,,2020-02-01,day,11-50,"Paradox Metaverse is a Play to Earn (P2E) game with a free roam metaverse, where users can socialise in-game while earning $PARA Coins when completing missions and in-game milestones.   History Paradox Metaverse was founded by Amio Talio, an aspiring entrepreneur and influencer, in February 2020.  The Paradox Metaverse began with the development of the metaverse environment built in Unreal Engine 5.  Over the years the full ecosystem was built out, now it consists of a metaverse, Triple AAA play and earn game, DAO, NFT collection, launchpad, and other ambitious ventures to be added.  The Paradox Metaverse is a Triple AAA play and earn game built using unreal engine. The gamestyle is a battle royale that bears many similarities to popular Triple AAA titles such as GTA V and Fortnite. Players can use the Paradox NFT characters in the game and earn the Paradox native token $PARA when challenges are completed.  Players will also be able to attend live events held by the Paradox team, within the metaverse. These events range from concerts to celebrity boxing matches, and will be exclusive to players of the metaverse only. Well known UK and Dubai influencers like Salt Papi, Mo Vlogs, Money Kicks, DMO Deejay, and Yiannimize will be invited to the events.","Cryptocurrency, Gaming, Venture Capital","Northampton, Northamptonshire, United Kingdom",,,,"Paradox Metaverseis a Play to Earn (P2E) game with a free roam metaverse, where users socialise in-game while earning $PARA Coins.","147,099",,,,,,,
Knox Metaverse,https://www.crunchbase.com/organization/knox-metaverse,,2021-07-01,month,1-10,We bring wealth creation to the masses through digital asset innovations & blockchain technologies.,"Blockchain, Cryptocurrency, Financial Services, Software, Venture Capital",,250000,USD,250000,"SaaS, Development, Blockchain, IT Support & Services","147,969",2021-07-05,Seed,1,Seed,250000,USD,250000
ArcadeNetwork,https://www.crunchbase.com/organization/arcadenetwork,,2021-01-16,day,11-50,ArcadeNetwork is the world’s first decentralised platform providing cross metaverse asset interoperability by making use of Blockchain technology & NFTs.,,"Cape Town, NA - South Africa, South Africa",75000,USD,75000,ArcadeNetwork is the world’s first decentralised platform providing cross metaverse asset interoperability and true ownership to the Gamers.,"152,870",2021-12-01,Seed,1,Seed,75000,USD,75000
AMGI Studios,https://www.crunchbase.com/organization/amgi-studios,,2021-01-01,year,1-10,,"Blockchain, Developer Platform, Video Games","South Pasadena, California, United States",,,,AMGI Studios is a Web3 game developer specializing in metaverse virtual game development and design.,"156,381",2022-07-20,Seed,1,Seed,,,
KOOP360,https://www.crunchbase.com/organization/koop360,,2022-07-06,day,,"KOOP LABS LLC is the subsidiary of KOOP360 Ecosystem that designs the first of its kind of customized, open-source, decentralized BOTs development ecosystem, where NFTs and Metaverse ecosystem can easily built or developed by utilizing the Artificial Intelligence and pre-set Machine Learning tools. The ecosystem will be operated and governed by the community, and, via BOTs it will be an open-source, peer-to-peer development skilled ecosystem, from learners to the experts. Project Sectors:  Metaverse, NFT, VR / AR Use Case Creators with Virtual Arena, Land and Environment, Non-Custodial Crypto Wallet, DEX, Ecommerce (Classified Basics), Philanthropy Campaigns.","Blockchain, Cryptocurrency",,,,,"KOOP360 develops the first customizable, open-source, decentralized BOTs development ecosystem.","166,181",,,,,,,
Vespia,https://www.crunchbase.com/organization/vespia,,2021-01-01,year,1-10,"Vespia is a tool for verifying and onboarding business customers, partners, and investors - in a matter of seconds. We help businesses understand who they are dealing with using the power of AI. We are currently building the Vespia passport, an AI/ML-based multi-chain digital identity that helps users get onboarded to DeFi, CeFi, Metaverse, NFT, fintech, and other types of platforms in a matter of seconds. With full control of your data, fraud prevention, wallet protection, and funds authorization, you are able to navigate the whole Vespia Ecosystem of company founders, 3rd party data requestors, and data scouts who interact through the platform to create a new standard of Trust and Transparency for Web3 and Metaverses.","Artificial Intelligence, Cyber Security, FinTech","Tallinn, Harjumaa, Estonia",,,,Vespia is a tool for verifying and onboarding legal entities that helps companies minimize business risk using AI.,"167,762",2022-07-20,Seed,1,Pre-Seed,,,
hubinit,https://www.crunchbase.com/organization/hubinit,,2022-04-01,day,51-100,"hubinit is a dynamic on-demand teams as a service company that is transforming the remote work landscape with our innovative SaaS metaverse platform that incorporates AI and project management tools. Our mission is to provide customers with unparalleled access to top-notch IT professionals, and to do so in just 10 days. We specialize in building metaverse working environments that provide secure, efficient, and collaborative remote workspaces, making us the ideal platform for all your IT needs. With a team of over 3000 IT professionals (and growing), we are dedicated to becoming the leading independent IT platform in the world. Our comprehensive solution utilizes the latest AI and metaverse applications, as well as state-of-the-art project management tools, to offer an unmatched remote working experience. Whether you're starting a new project or looking for a reliable IT team, hubinit has got you covered with a cutting-edge SaaS metaverse platform that leverages AI and project management tools to take remote work to the next level.","Artificial Intelligence, Blockchain, Developer Platform, Human Resources, Information Technology, Marketplace, Payments, Virtual Reality, Virtual World","Amsterdam, Noord-Holland, The Netherlands",,,,On-demand teams as a service platform.,"170,289",,,,,,,
XLAND METAVERSE,https://www.crunchbase.com/organization/xland-metaverse,,2022-01-01,year,,XLAND METAVERSE is a metaverse platform that emphasizes the idea of digital twin earths.,Cryptocurrency,,1000000,USD,1000000,XLAND METAVERSE is a metaverse platform that emphasizes the idea of digital twin earths.,"170,418",2022-06-27,Seed,1,Seed,1000000,USD,1000000
MultiMetaverse,https://www.crunchbase.com/organization/multimetaverse,,2021-04-01,month,11-50,,"Blockchain, Cryptocurrency, Virtual Currency","Shanghai, Shanghai, China",,,,"MultiMetaverse is a metaverse start-up company that builds an open, immersive and multi-experience entertainment world metaverse.","171,914",,IPO,,,,,
Dogtor,https://www.crunchbase.com/organization/dogtor,,2021-07-27,day,11-50,""We fly for you"" Guarantee delivery in the web 3.0 in less of 30 minutes. The first consumer-tech living into the metaverse and hosted in the ETH blockchain.,"Consumer Applications, Delivery, Mobile Apps","Miami, Florida, United States",49500,USD,49500,Superapp on-demand delivery,"172,596",2021-12-10,Seed,1,Pre-Seed,49500,USD,49500
InfiniteWorld,https://www.crunchbase.com/organization/infiniteworld,,2020-01-01,year,101-250,We provide Web3 and Metaverse infrastructure for brands and creators to increase their reach and monetization through deeper engagement with their communities.,"Blockchain, Digital Marketing, Information Technology, Marketing","Miami, Florida, United States",,,,InfiniteWorld is a Metaverse infrastructure platform.,"174,269",,,,,,,
MetaJuice,https://www.crunchbase.com/organization/metajuice,,2022-01-27,day,251-500,"MetaJuice is building blockchain-driven assets that unlock the value of the metaverse where users can create, earn, own and shape the future. Through meta tokens such as VCORE and VCOIN, and NFTs, MetaJuice will realize its vision; creating a world where everyone can participate and share in its success.",,"Redwood City, California, United States",,,,"MetaJuice is developing blockchain assets to unlock the value of the metaverse, where users can create, earn, own, and shape the future.","175,024",2022-10-13,,1,Venture - Series Unknown,,,
Hyper,https://www.crunchbase.com/organization/hyper-online,,2020-01-01,year,1-10,Hyper is an avatar-based social network. We're building the metaverse.,"Apps, Messaging, Social Network","San Francisco, California, United States",,,,"Building the hyperverse. We let people stream, make content, and make friends as an avatar.","176,082",2021-04-30,Seed,2,Seed,,,
STARL Metaverse Project,https://www.crunchbase.com/organization/starlink-metaverse,,2021-07-01,day,11-50,"A vast and richly designed virtual escape to outer space, the STARL Metaverse offers users the opportunity to socialize, explore, play, trade assets, and express themselves beyond the constraints of reality. STARL aims to build for the future where all are welcome to freely explore. What makes us different? We look within to our community for ideas, and out to the stars for our goals. Our vision is to create a spectacular universe by utilizing Unreal Engine 5, designers and developers with decades of experience in their fields, and a passionate community to guide us.","3D Technology, Blockchain, Cryptocurrency, Video Games",,,,,STARL is an immersive and interactive virtual universe based in space and built in Unreal Engine 5.,"176,295",,,,,,,
NeuroSync Laboratories,https://www.crunchbase.com/organization/neurosync,,2019-07-25,day,1-10,"NeuroSync Laboratories is pushing VR to the next stage. We've spent years developing a perfect hardware interface for virtual reality. We've solved the issues of simulation sickness, safety, compatibility with non VR content and space required for proper virtual reality. This all came from the hope we once shared of entering the metaverse through a neurological interface that interacts with your brain while you use it. That is exactly what C-Infinity is. All in one, perfect VR interface.","Consumer Electronics, Hardware, Media and Entertainment, Virtual Reality","Galveston, Texas, United States",,,,"NeuroSync is pushing VR to the next stage. We are behind C-Infinity, the worlds first true neurological VR Interface.","176,545",,,,,,,
Lamina1,https://www.crunchbase.com/organization/lamina1,,2022-01-01,year,11-50,"Lamina1 is a Blockchain optimized for the open metaverse providing communities with infrastructure to build an immersive internet. The company's chain technology, cryptographic model, and extensive intellectual property partnerships establish it as the preferred destination for this generation’s most creative minds.","Blockchain, Information Technology, Software","Seattle, Washington, United States",,,,Lamina1 is a Blockchain optimized for the open metaverse providing communities with infrastructure to build an immersive internet.,"177,916",,,,,,,
Mobox,https://www.crunchbase.com/organization/mobox-9fee,,2021-04-01,month,,,"Developer Platform, Gaming",,,,,Mobox is a cross-platform gaming metaverse combining automated optimized DeFi yield farming and gaming NFTs to create a gamefi metaverse.,"178,995",2021-11-18,Seed,1,Seed,,,
Inverseting.com,https://www.crunchbase.com/organization/inverseting-com,,2021-10-01,month,,Inverseting.com is a Metaverse news platform with the recent and most relevant Metaverse news. The Inverseting team works on Mixed Reality Products and experiences to assist users to experience the Metaverse with assistance of artifactual intelligence.,"Augmented Reality, Digital Media, Information Technology, News, Virtual Reality","Herzliya, Tel Aviv, Israel",,,,Inverseting.com beyond future,"179,941",,,,,,,
Cope.Studio,https://www.crunchbase.com/organization/cope-studio,,2020-11-20,day,11-50,Cope.Studio is a deep-tech focused product studio where we are building a platform for repeatable creation and growth of successful products for the Metaverse.,"3D Technology, Augmented Reality, Blockchain, Information Technology, Software, Virtual Reality","Bangalore, Karnataka, India",,,,A deep-tech studio building products and startups for the Metaverse.,"182,836",,,,,,,
Swapifly,https://www.crunchbase.com/organization/swapifly,,2022-07-01,day,1-10,"Swapifly Limited is a Hong Kong based classified online marketplace. The platform primarily focusses on rare and luxury resale, leverage A.I. and big data to provide listing competitiveness, consumer modeling and loyalty rewards. Swapifly is to bring quality consumer data from the 6 categories (Limited, Luxury, Electronics, Home & Beauty, Cars, Property) for corresponding advertisers. Quality conversion data collected will turn into media value to top spending advertisers as becoming a major revenue source to Swapifly. The marketplace will also extend for virtual product sellers from metaverse exchange to the physical world by blockchain technology. Swapifly operates in Hong Kong and a number of Asia markets as well as oversea countries with Chinese immigrants.","Advertising Platforms, Classifieds, Digital Marketing, E-Commerce Platforms, Internet, Marketplace, Social Media Marketing","Hong Kong, Hong Kong Island, Hong Kong",,,,Swapifly is a Hong Kong based classified online marketplace,"183,067",2022-12-01,Seed,1,Seed,,,
Yorozuya Gaming,https://www.crunchbase.com/organization/yorozuya-gaming,,2020-11-20,day,1-10,"Yorozuya Gaming owns & operates businesses in gaming, esports, blockchain, nft, virtual reality and metaverse industries that create innovative, engaging products and experiences for millenials across the world, with a strong focus on India, Thailand, Indonesia and Middle-east markets. We run gaming gatherings, gaming expos, esports leagues and tournaments, collegiate gaming programs, esports teams and content creators, play-to-earn student scholarships, brand activations, content creation, game publishing, blockchain events, blockchain expos, gaming solutions, nft gaming marketplace and run gaming focussed venture capital fund for Indian gaming and blockchain startups.  We are confident on disrupting the current landscape of gaming, esports, blockchain and entertainment industry worldwide and are focussed towards creating India as the Global leader in these industries ..","Blockchain, eSports, Gaming, Media and Entertainment, Video Games","Mumbai, Maharashtra, India",1000,USD,1000,"Group of Gaming & Metaverse companies who create Gaming & Metaverse solutions, large scale events and esports ips, publishing, nfts and more","183,458",2020-11-22,Seed,1,Pre-Seed,1000,USD,1000
PKO Investments,https://www.crunchbase.com/organization/pko-investments,,2021-03-01,day,1-10,"PKO Investments is a syndicate that invests in startups at the intersection of tech & entertainment. Areas of interest include metaverse, virtual worlds, VR/AR, web3: crypto/NFTs/DAOs, creator economy, gaming & esports, social media, platforms, marketplaces, communities, streaming video, content & media, and more.",,,,,,Investment syndicate investing at the intersection of tech+entertainment.,"183,537",,,,,,,
ARTISANT,https://www.crunchbase.com/organization/artisant,,2022-02-01,month,11-50,"ARTISANT - is a web3 digital fashion House. We unite artists, digital fashion designers, traditional brands, and tech to provide an opportunity not only to purchase wearable art as NFT but instantly use it.","Blockchain, Cryptocurrency, E-Commerce, Fashion",,,,,ARTISANT - gamified platform where you can build your metaverse fashion wardrobe.,"185,416",2022-02-01,Seed,1,Pre-Seed,,,
reitio,https://www.crunchbase.com/organization/reitio,,2022-03-24,day,11-50,"We’re creating an effortless way for everyone to create custom metaverse assets visually via an intuitive and codeless templates-based design toolkit, introducing reitio protocol.","3D Technology, Augmented Reality, Blockchain, Business Intelligence, CAD, Cryptocurrency, Online Games, Software","Singapore, Central Region, Singapore",,,,Your Gateway to the Open Metaverse — Democratise UGC with the first 3D CAD dApp,"187,096",2022-03-31,Seed,2,Pre-Seed,,,
Metaverse HQ,https://www.crunchbase.com/organization/metaverse-hq,,2021-07-01,month,11-50,,,,,,,"Metaverse HQ is a Web3 technology company incubating founders, advising leaders, and developing engaging products.","187,338",,,,,,,
PatchXR,https://www.crunchbase.com/organization/patchxr,,2020-12-20,day,11-50,"PatchXR is a software company whose mission is to create playful technologies that inspire people to be more creative. Their first vertical is Immersive Music creation combined with virtual world-building.   PatchWorld released on Quest 2 store allow anyone to create their own world and make music while having fun, play alone or  jam together remotely, create your first bands, and invite friends and fans from all around the world to join a real party in fantastic virtual worlds. This is where the metaverse really comes alive, in a creative economy fueled with the passion of individuals and communities. TRACTION - Launched on July 7th 2022 -1000 paying users - 40% active user rate  FUNDING - MRR: 20k - Raised 500K pre-seed round - Large grant from major metaverse company TECH: We have created the full stack - Our propriotary engin running our realtime simulation technology - No code user software for casual gamers and prosumer creators - Fully managed cloud infrastructure to handle all social, financial, gameplay interactions between users in PatchWorld.","Augmented Reality, Digital Entertainment, Music, Musical Instruments, Software, Virtual Reality","Volketswil, Zurich, Switzerland",,,,"Developper of PatchWorld, the first music creator Metaverse","188,881",2022-03-15,Seed,2,Grant,,,
Alien Worlds,https://www.crunchbase.com/organization/alien-worlds-0e13,,2020-01-01,year,11-50,"Alien Worlds is an NFT Metaverse where the user can play with digital NFT's. Players may select NFT game cards for their strategy on Binance Smart Chain (BSC) and WAX, to be used in their game.","Blockchain, Cryptocurrency, Gaming","Zug, Zug, Switzerland",,,,Alien Worlds is a NFT metaverse online gaming platform.,"189,457",,,,,,,
PNDORAS BOX,https://www.crunchbase.com/organization/pndoras-box,,2022-01-17,day,1-10,"PNDORAS BOX is a metaverse that allows creators and corporations to own and monetize their likenesses while unlocking it's full potential. Gamers can explore vast lands held by companies, as they reshape environments in this 2099 dystopian future. We're building the future of how people will engage with products, culture, and experiences. Pndoras Box leverages layer 2 Ethereum technology to govern and empower its community while revolutionizing the Future-of-work, STEM, and Manufacturing.","Blockchain, Cryptocurrency, Gaming, Virtual Reality","Palo Alto, California, United States",95000,USD,95000,A metaverse inspiring people to see the world and humans by creating differently,"190,859",2022-01-17,Seed,1,Pre-Seed,95000,USD,95000
"Rather Labs, Inc",https://www.crunchbase.com/organization/rather-labs,,2020-07-10,day,51-100,"Rather Labs is a global blockchain tech hub, whose elite team of engineers make new ecosystems come to life: helping more than 30 founders & startups and enterprises design, build and launch Web3 products. Metaverse, blockchain gaming, DeFi and GameFi are among Rather Labs’ scope -a cutting-edge example is the NFT standard (NRC-721) standard on Nervos, the first Web3 game on Nervos and the first lending protocol on Elrond blockchain-. Rather Labs brings the solution for tech startups that want to create their MVPs from scratch, raise investment and scale their products.","Blockchain, Information Technology, Software, Web Development","Buenos Aires, Distrito Federal, Argentina",,,,Blockchain Technical Partners,"191,547",,,,,,,
Aradena,https://www.crunchbase.com/organization/aradena,,2021-01-01,year,51-100,Aradena is the creator of a play-and-earn (PAE) medieval metaverse.,"Blockchain, Gaming","London, England, United Kingdom",,,,Aradena is the creator of a play-and-earn (PAE) medieval metaverse.,"193,306",2022-03-29,Seed,1,Pre-Seed,,,
Roomza,https://www.crunchbase.com/organization/roomza,,2020-07-07,day,1-10,"Opening in 2022-23, Roomza will be the first hotel of its kind. Guests will enjoy unmatched levels of pre-arrival hotel customizations including check-in time, minibar items, bathroom amenities, and assigning their own room. On the supply side, the company signs agreements with hotels and deploys its tech-based model to streamline operations and grow demand. Beyond its changes to the traditional hotel business model, Roomza leads the global conversation in hotel metaverse applications. The company is currently developing what it calls “The Roomzaverse”, its own metaverse where consumers can explore, book, and customize their upcoming stays. Online, on property, and in the metaverse, the cloud-based platform is designed to level-up the hotel experience by making the entire process digital and personalized from start to finish. Behind the scenes, Roomza is a full-stack service provider of immersive mixed-reality experiences to the hospitality market, whose physical focus is redefining the guest stay through personalization.","Hotel, Subscription Service, Travel, Travel Accommodations","Seattle, Washington, United States",,,,"Roomza is better than brand hotels & Airbnb for consumers, worker, partners, & the planet","195,612",,,,,,,
Warrp,https://www.crunchbase.com/organization/warrp-pty-ltd,,2020-06-20,day,11-50,"As of 2022, Warrp has become an agile Web 3 company that is focused at delivering community driven utility that empowers NFT holders and project creators to accelerate in the space. Past Web 2 projects include the Warrp Marketplace - a safety focused Australian second hand goods app and digital platform connecting sellers and buyers through a crowdsourced machine learning pricing system that dynamically updates prices of listings every 12 hours. Current Web 3 projects include the ToastPunk NFT project - a community driven NFT brand focused at offering value add to it's holders with the establishment of a DAO, early access into P2E and metaverse projects as well as project collaborations with other well known project partners. Warrp is currently building a multi-community P2E racing metaverse game with the aim on delivering high player retention and rapid onboarding for metaverse offerings through its loyalty driven approach of Web 3 persona builds.","Cryptocurrency, Developer Tools, E-Commerce Platforms, Fraud Detection, Online Games, Software","Melbourne, Victoria, Australia",,,,An agile Web 3 company that is focused at delivering community driven utility that empowers project creators to accelerate in the space.,"195,730",2022-08-31,Seed,1,Seed,,,
